;;
Summer term 2016 - Miscellaneous;;Every Wednesday in room ICCS146 at 5:00 PM
Date ;Presenter;Topic
May 25;Mark Schmidt; Introduction to Summer topics - 2016_MLRG_Assorted.pdf
Jun 1;No meeting;UAI camera-ready deadline
Jun 8;Sharan;Spectral Methods (1) - Spectral_Methods.pdf
Jun 15;Geoff;Spectral Methods (2) - MLRG_Tensor_Talk.pdf
Jun 22;Chris;Relational Models
Jun 29;Saif;Submodularity - mlrg_submodularity.pdf
Jul 6;Nasim; Grammars - Grammars.pdf
Jul 13;Eviatar; Continuous graphical models - continuous_graphical_models.pdf
Jul 20;Steven and Kevin; Gaussian Copulas - GaussianCopula_GraphicalModels.pdf
Jul 27;Issam; Large-scale kernels methods (1)
Aug 3;Julietta; Large-scale kernels methods (2)
Aug 10;Alireza; Changepoint detection (1)
Aug 17;Mohamed;Changepoint detection (2)
Aug 24;Julie;Independent component analysis (1)
Aug 31;Ricky;Independent component analysis (2)
